Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1535587200,2018-08-30T00:00:00,10.3233121764,4.91549647089,6.40242110491708,90.4941545383224,43.0892420638217,56.1236234057031
1535673600,2018-08-31T00:00:00,10.452980484,4.9772386809,6.48284016955749,91.630826922744,43.6304742767694,56.828576926341
1535760000,2018-09-01T00:00:00,10.6058578272,5.05003198872,6.5789517889135,92.9709497132352,44.2685804131195,57.6710913816158
1535846400,2018-09-02T00:00:00,10.3287694284,4.91809496859,6.408342505011,90.5419928093544,43.1120204946599,56.1755303989264
1535932800,2018-09-03T00:00:00,9.9370215936,4.73156228736,6.1666225174525,87.1079312894976,41.4768750109978,54.0566129879886
1536019200,2018-09-04T00:00:00,9.6790392912,4.60872273012,6.00770786106295,84.8464584266592,40.4000634522319,52.6635671100778
1536105600,2018-09-05T00:00:00,9.6121550964,4.57687548789,5.96736205134775,84.2601515750424,40.1208905268437,52.3098957421143
1536192000,2018-09-06T00:00:00,9.573934332,4.5586764807,5.94494782272234,83.925108354312,39.9613580298162,52.1134126139841
1536278400,2018-09-07T00:00:00,9.6000091392,4.57109212992,5.96247556935493,84.1536801142272,40.0701936108787,52.2670608409653
1536364800,2018-09-08T00:00:00,9.6526587636,4.59616151061,5.99517575689318,84.6152067217176,40.2899518020073,52.5537106849256
1536451200,2018-09-09T00:00:00,9.9017951748,4.71478905273,6.14991204346098,86.7991365022968,41.3298408362312,53.9101289729789
1536537600,2018-09-10T00:00:00,9.871783146,4.70049867585,6.13127185407031,86.536051057836,41.2045713925011,53.7467290727804
1536624000,2018-09-11T00:00:00,10.0735786104,4.79658459054,6.25660512292925,88.3049900987664,42.0468605206736,54.8454005075978
1536710400,2018-09-12T00:00:00,10.4872211688,4.99354255338,6.51351463344572,91.9309807657008,43.7733940229291,57.0974692767852
1536796800,2018-09-13T00:00:00,10.5294877284,5.01366798609,6.53976599689356,92.3014894271544,43.9498135660649,57.3275887287689
1536883200,2018-09-14T00:00:00,10.338392478,4.92267703155,6.42107853051634,90.626348462148,43.1521868585673,56.2871743985062
1536969600,2018-09-15T00:00:00,10.2386990556,4.87520751231,6.35915988159983,89.7524359213896,42.7360690529095,55.7443955221041
1537056000,2018-09-16T00:00:00,9.9994314132,4.76127903357,6.21055299470409,87.6550157681112,41.7373720082746,54.4417075515761
1537142400,2018-09-17T00:00:00,9.9994314132,4.76127903357,6.21055299470409,87.6550157681112,41.7373720082746,54.4417075515761
1537228800,2018-09-18T00:00:00,10.009400184,4.7660257134,6.21674450467972,87.742402012944,41.7789814036644,54.4959823280225
1537315200,2018-09-19T00:00:00,9.8897663628,4.70906147403,6.14244106123185,86.6936919363048,41.279632881347,53.8446383427584
1537401600,2018-09-20T00:00:00,9.953184774,4.73925846615,6.18182964117427,87.249617728884,41.5443397142709,54.1899186345337
1537488000,2018-09-21T00:00:00,10.1001077124,4.80921655449,6.27308209917566,88.5375442068984,42.1575923166593,54.9898376813739
1537574400,2018-09-22T00:00:00,10.2790255764,4.89440918589,6.38420630515846,90.1059382027224,42.9043909235117,55.963952471019
1537660800,2018-09-23T00:00:00,10.4171169096,4.96016206146,6.46997353606479,91.3164468295536,43.4807806307584,56.7157880171439
1537747200,2018-09-24T00:00:00,10.5747714912,5.03523007512,6.56789131692903,92.6984468918592,44.1388268385019,57.5741352841998
1537833600,2018-09-25T00:00:00,10.8759775152,5.17865082252,6.75496755127438,95.3388188982432,45.3960531102103,59.2140455544712
1537920000,2018-09-26T00:00:00,10.7328375096,5.11049399646,6.66606463732794,94.0840536091536,44.7985903729684,58.4347226108168
1538006400,2018-09-27T00:00:00,10.6466729292,5.06946630267,6.61254862519407,93.3287348973672,44.4389416092052,57.9656012484512
1538092800,2018-09-28T00:00:00,10.7482635324,5.11783917399,6.67564559529826,94.2192781250184,44.8629781991963,58.5187092883845
1538179200,2018-09-29T00:00:00,10.71778578,5.1033270405,6.65671614935098,93.95211014748,44.735764837023,58.3527737652107
1538265600,2018-09-30T00:00:00,10.8498541356,5.16621204531,6.73874256540245,95.1098213526696,45.2870147891875,59.0718173283178
1538352000,2018-10-01T00:00:00,10.9514447388,5.20493908535,6.78077592776667,96.0003645803208,45.6264960221781,59.4402817828026
1538438400,2018-10-02T00:00:00,10.62635538,5.0417823875,6.56060198302749,93.15063126108,44.196264408825,57.5102369832189
1538524800,2018-10-03T00:00:00,10.6873108848,5.06195447211,6.57913035879836,93.6849672161568,44.3730929025163,57.6726567252264
1538611200,2018-10-04T00:00:00,10.805658966,5.10886521491,6.63201830114585,94.722406495956,44.7843124739011,58.1362724278445
1538697600,2018-10-05T00:00:00,10.6176666348,5.01107982574,6.49719466457871,93.0744657206568,43.9271257524368,56.9544084296969
1538784000,2018-10-06T00:00:00,10.397050794,4.89807873304,6.34280360132101,91.140547260204,42.9365581738286,55.60101636918
1538870400,2018-10-07T00:00:00,10.2446877468,4.8164948377,6.22844157674128,89.8049327884488,42.2213937472782,54.598518861714
