Date,Bitcoin Transactions per kW,Ethereum Transactions per kW
2011-09-03,0.347571774243998,
2011-09-04,0.41891793446604,
2011-09-05,0.399979707182831,
2011-09-06,0.442915603197212,
2011-09-07,0.408623503795479,
2011-09-08,0.374446671954757,
2011-09-09,0.42595300104976,
2011-09-10,0.350269196870228,
2011-09-11,0.380014473153141,
2011-09-12,0.39708137169605,
2011-09-13,0.397867941145939,
2011-09-14,0.375177635418512,
2011-09-15,0.381790637425406,
2011-09-16,0.380264313901779,
2011-09-17,0.33426653606847,
2011-09-18,0.355237515215835,
2011-09-19,0.397911134862366,
2011-09-20,0.488501196474626,
2011-09-21,0.460852448583306,
2011-09-22,0.371220521759889,
2011-09-23,0.377216395332814,
2011-09-24,0.343190248430481,
2011-09-25,0.350330115285339,
2011-09-26,0.342749375832213,
2011-09-27,0.373666465351322,
2011-09-28,0.370270897282302,
2011-09-29,0.354207591646006,
2011-09-30,0.378055742436891,
2011-10-01,0.360515125747104,
2011-10-02,0.361737080898889,
2011-10-03,0.492189698756599,
2011-10-04,0.474771546629294,
2011-10-05,0.504531153527322,
2011-10-06,0.546759562261976,
2011-10-07,0.548349707380945,
2011-10-08,0.610255032975164,
2011-10-09,0.717354564923215,
2011-10-10,0.96542830195985,
2011-10-11,1.20497389254281,
2011-10-12,1.7474143658737,
2011-10-13,2.42111504674406,
2011-10-14,9.85194835030121,
2011-10-15,9.02293175025468,
2011-10-16,8.30119391614967,
2011-10-17,9.89588503153861,
2011-10-18,8.20155280233195,
2011-10-19,8.70203769036175,
2011-10-20,7.85567827313664,
2011-10-21,8.98407256807355,
2011-10-22,9.21087877355516,
2011-10-23,10.2372904956831,
2011-10-24,10.7137939063627,
2011-10-25,9.33331537273652,
2011-10-26,9.60031209131004,
2011-10-27,8.67650655341648,
2011-10-28,9.68839269574077,
2011-10-29,10.5838371562262,
2011-10-30,9.02682162481142,
2011-10-31,9.80500910848191,
2011-11-01,11.0157495096845,
2011-11-02,11.2898960165825,
2011-11-03,11.7469218398792,
2011-11-04,12.0497545063084,
2011-11-05,10.8324067184144,
2011-11-06,9.11977913922451,
2011-11-07,9.97092044240235,
2011-11-08,10.8853053572126,
2011-11-09,11.6281428567574,
2011-11-10,11.610823526931,
2011-11-11,8.63860971465695,
2011-11-12,10.0451786709785,
2011-11-13,9.83830693964618,
2011-11-14,10.7068869249921,
2011-11-15,10.907446587649,
2011-11-16,11.1021001972407,
2011-11-17,9.13330751700131,
2011-11-18,9.39782658033708,
2011-11-19,8.77486761131473,
2011-11-20,9.54227275606754,
2011-11-21,9.11704917127803,
2011-11-22,10.7769437428574,
2011-11-23,10.9987619747565,
2011-11-24,10.1427577707835,
2011-11-25,11.0642358004845,
2011-11-26,9.61573382078794,
2011-11-27,10.5808031894373,
2011-11-28,12.2712204749133,
2011-11-29,13.4200819540007,
2011-11-30,14.0462219529045,
2011-12-01,12.3047284117317,
2011-12-02,12.2578565302371,
2011-12-03,10.7086358654899,
2011-12-04,10.1312327953647,
2011-12-05,11.5263105844727,
2011-12-06,14.3974702789317,
2011-12-07,11.3168577290341,
2011-12-08,10.9172474113464,
2011-12-09,10.4722250514175,
2011-12-10,10.7213508466243,
2011-12-11,9.78596776856119,
2011-12-12,9.298916856895,
2011-12-13,10.6578618941938,
2011-12-14,10.9618345170488,
2011-12-15,9.76772972044243,
2011-12-16,10.986613356875,
2011-12-17,9.78432591460372,
2011-12-18,9.39215476432791,
2011-12-19,11.3891096408092,
2011-12-20,12.2427493890812,
2011-12-21,3.94458639911644,
2011-12-22,2.51605759017143,
2011-12-23,1.775195213629,
2011-12-24,1.14287386732659,
2011-12-25,1.02747073012785,
2011-12-26,0.905928345551794,
2011-12-27,0.732478605709291,
2011-12-28,0.698517685555296,
2011-12-29,0.734494305318532,
2011-12-30,0.711408734373248,
2011-12-31,0.719095156110741,
2012-01-01,0.71343616364667,
2012-01-02,0.790762832143737,
2012-01-03,0.832559810998322,
2012-01-04,0.831257269552558,
2012-01-05,1.0057713733698,
2012-01-06,0.929808095438477,
2012-01-07,0.801907348212235,
2012-01-08,0.859599336764236,
2012-01-09,0.80201511629038,
2012-01-10,0.88147483296869,
2012-01-11,0.929504125955268,
2012-01-12,0.856972922149728,
2012-01-13,0.891408828828552,
2012-01-14,0.903504345134286,
2012-01-15,0.849858882222051,
2012-01-16,0.927984025916579,
2012-01-17,0.88732155930117,
2012-01-18,0.893249951548814,
2012-01-19,0.931981257414474,
2012-01-20,0.911122873250888,
2012-01-21,0.844167513319383,
2012-01-22,0.704483180733112,
2012-01-23,0.804930921116566,
2012-01-24,0.969697699950608,
2012-01-25,1.03581651510034,
2012-01-26,0.863048420960166,
2012-01-27,0.827040607195067,
2012-01-28,0.780310687329109,
2012-01-29,0.822777539336529,
2012-01-30,0.786322497648682,
2012-01-31,0.875805160888502,
2012-02-01,0.834777509546657,
2012-02-02,0.910171635551586,
2012-02-03,0.889719773932663,
2012-02-04,0.907570178474281,
2012-02-05,0.871157499153114,
2012-02-06,0.810578229168302,
2012-02-07,0.939747611223268,
2012-02-08,0.930921086434484,
2012-02-09,0.997983921103948,
2012-02-10,1.14016947757501,
2012-02-11,1.03896956895731,
2012-02-12,0.936224503045462,
2012-02-13,1.07382419870161,
2012-02-14,1.27370346529623,
2012-02-15,1.26708689939689,
2012-02-16,1.30335139084246,
2012-02-17,0.91342075796196,
2012-02-18,0.860386434045292,
2012-02-19,0.787000582596866,
2012-02-20,0.835164566681731,
2012-02-21,0.853553635294734,
2012-02-22,0.93393677030368,
